Z (m),Wt (m/s),MC_Sniff (m/s),Sniffing Radius (m),Glide Path Length (m),Probability
1500,5.0,2.5,160.95740074664278,40000,0.73
1500,5.0,3.0,149.41961479859086,40000,0.64
1500,5.0,3.5,135.75672951178268,40000,0.63
1500,5.0,4.0,118.59442685798315,40000,0.64
1500,5.0,4.5,94.12845897596405,40000,0.57
1500,5.0,5.0,0.0,40000,0.0
2000,0.5,0.0,94.12845897596405,60000,0.47
2000,0.5,0.5,0.0,60000,0.0
2000,0.5,1.0,0.0,60000,0.0
2000,0.5,1.5,0.0,60000,0.0
2000,0.5,2.0,0.0,60000,0.0
2000,0.5,2.5,0.0,60000,0.0
2000,0.5,3.0,0.0,60000,0.0
2000,0.5,3.5,0.0,60000,0.0
2000,0.5,4.0,0.0,60000,0.0
2000,0.5,4.5,0.0,60000,0.0
2000,0.5,5.0,0.0,60000,0.0
2000,1.0,0.0,118.59442685798314,60000,0.58
2000,1.0,0.5,94.12845897596405,60000,0.51
2000,1.0,1.0,0.0,60000,0.0
2000,1.0,1.5,0.0,60000,0.0
2000,1.0,2.0,0.0,60000,0.0
2000,1.0,2.5,0.0,60000,0.0
2000,1.0,3.0,0.0,60000,0.0
2000,1.0,3.5,0.0,60000,0.0
2000,1.0,4.0,0.0,60000,0.0
2000,1.0,4.5,0.0,60000,0.0
2000,1.0,5.0,0.0,60000,0.0
2000,2.0,0.0,149.41961479859086,60000,0.75
2000,2.0,0.5,135.75672951178268,60000,0.71
2000,2.0,1.0,118.59442685798314,60000,0.55
2000,2.0,1.5,94.12845897596405,60000,0.45
2000,2.0,2.0,0.0,60000,0.0
2000,2.0,2.5,0.0,60000,0.0
2000,2.0,3.0,0.0,60000,0.0
2000,2.0,3.5,0.0,60000,0.0
2000,2.0,4.0,0.0,60000,0.0
2000,2.0,4.5,0.0,60000,0.0
2000,2.0,5.0,0.0,60000,0.0
2000,3.0,0.0,171.04276117677958,60000,0.63
2000,3.0,0.5,160.95740074664278,60000,0.59
2000,3.0,1.0,149.41961479859086,60000,0.64
2000,3.0,1.5,135.75672951178268,60000,0.55
2000,3.0,2.0,118.59442685798315,60000,0.56
2000,3.0,2.5,94.12845897596405,60000,0.43
2000,3.0,3.0,0.0,60000,0.0
2000,3.0,3.5,0.0,60000,0.0
2000,3.0,4.0,0.0,60000,0.0
2000,3.0,4.5,0.0,60000,0.0
2000,3.0,5.0,0.0,60000,0.0
2000,4.0,0.0,188.2569179519281,60000,0.73
2000,4.0,0.5,180.06126436143325,60000,0.66
2000,4.0,1.0,171.04276117677955,60000,0.69
2000,4.0,1.5,160.95740074664278,60000,0.65
2000,4.0,2.0,149.41961479859086,60000,0.63
2000,4.0,2.5,135.75672951178268,60000,0.57
2000,4.0,3.0,118.59442685798312,60000,0.55
2000,4.0,3.5,94.12845897596404,60000,0.46
2000,4.0,4.0,0.0,60000,0.0
2000,4.0,4.5,0.0,60000,0.0
2000,4.0,5.0,0.0,60000,0.0
2000,5.0,0.0,202.79361733706003,60000,0.73
2000,5.0,0.5,195.79508480470764,60000,0.7
2000,5.0,1.0,188.2569179519281,60000,0.73
2000,5.0,1.5,180.06126436143325,60000,0.69
2000,5.0,2.0,171.04276117677958,60000,0.66
2000,5.0,2.5,160.95740074664278,60000,0.7
2000,5.0,3.0,149.41961479859086,60000,0.6
2000,5.0,3.5,135.75672951178268,60000,0.57
2000,5.0,4.0,118.59442685798315,60000,0.54
2000,5.0,4.5,94.12845897596405,60000,0.48
2000,5.0,5.0,0.0,60000,0.0
2500,0.5,0.0,94.12845897596405,80000,0.45
2500,0.5,0.5,0.0,80000,0.0
2500,0.5,1.0,0.0,80000,0.0
2500,0.5,1.5,0.0,80000,0.0
2500,0.5,2.0,0.0,80000,0.0
2500,0.5,2.5,0.0,80000,0.0
2500,0.5,3.0,0.0,80000,0.0
2500,0.5,3.5,0.0,80000,0.0
2500,0.5,4.0,0.0,80000,0.0
2500,0.5,4.5,0.0,80000,0.0
2500,0.5,5.0,0.0,80000,0.0
2500,1.0,0.0,118.59442685798314,80000,0.51
2500,1.0,0.5,94.12845897596405,80000,0.48
2500,1.0,1.0,0.0,80000,0.0
2500,1.0,1.5,0.0,80000,0.0
2500,1.0,2.0,0.0,80000,0.0
2500,1.0,2.5,0.0,80000,0.0
2500,1.0,3.0,0.0,80000,0.0
2500,1.0,3.5,0.0,80000,0.0
2500,1.0,4.0,0.0,80000,0.0
2500,1.0,4.5,0.0,80000,0.0
2500,1.0,5.0,0.0,80000,0.0
2500,2.0,0.0,149.41961479859086,80000,0.55
2500,2.0,0.5,135.75672951178268,80000,0.51
2500,2.0,1.0,118.59442685798314,80000,0.51
2500,2.0,1.5,94.12845897596405,80000,0.31
2500,2.0,2.0,0.0,80000,0.0
2500,2.0,2.5,0.0,80000,0.0
2500,2.0,3.0,0.0,80000,0.0
2500,2.0,3.5,0.0,80000,0.0
2500,2.0,4.0,0.0,80000,0.0
2500,2.0,4.5,0.0,80000,0.0
2500,2.0,5.0,0.0,80000,0.0
2500,3.0,0.0,171.04276117677958,80000,0.59
2500,3.0,0.5,160.95740074664278,80000,0.66
2500,3.0,1.0,149.41961479859086,80000,0.64
2500,3.0,1.5,135.75672951178268,80000,0.5
2500,3.0,2.0,118.59442685798315,80000,0.5
2500,3.0,2.5,94.12845897596405,80000,0.46
2500,3.0,3.0,0.0,80000,0.0
2500,3.0,3.5,0.0,80000,0.0
2500,3.0,4.0,0.0,80000,0.0
2500,3.0,4.5,0.0,80000,0.0
2500,3.0,5.0,0.0,80000,0.0
2500,4.0,0.0,188.2569179519281,80000,0.6
2500,4.0,0.5,180.06126436143325,80000,0.59
2500,4.0,1.0,171.04276117677955,80000,0.62
2500,4.0,1.5,160.95740074664278,80000,0.62
2500,4.0,2.0,149.41961479859086,80000,0.52
2500,4.0,2.5,135.75672951178268,80000,0.53
2500,4.0,3.0,118.59442685798312,80000,0.51
2500,4.0,3.5,94.12845897596404,80000,0.46
2500,4.0,4.0,0.0,80000,0.0
2500,4.0,4.5,0.0,80000,0.0
2500,4.0,5.0,0.0,80000,0.0
2500,5.0,0.0,202.79361733706003,80000,0.66
2500,5.0,0.5,195.79508480470764,80000,0.72
2500,5.0,1.0,188.2569179519281,80000,0.53
2500,5.0,1.5,180.06126436143325,80000,0.59
2500,5.0,2.0,171.04276117677958,80000,0.63
2500,5.0,2.5,160.95740074664278,80000,0.6
2500,5.0,3.0,149.41961479859086,80000,0.62
2500,5.0,3.5,135.75672951178268,80000,0.44
2500,5.0,4.0,118.59442685798315,80000,0.41
2500,5.0,4.5,94.12845897596405,80000,0.4
2500,5.0,5.0,0.0,80000,0.0
3000,0.5,0.0,94.12845897596405,100000,0.35
3000,0.5,0.5,0.0,100000,0.0
3000,0.5,1.0,0.0,100000,0.0
3000,0.5,1.5,0.0,100000,0.0
3000,0.5,2.0,0.0,100000,0.0
3000,0.5,2.5,0.0,100000,0.0
3000,0.5,3.0,0.0,100000,0.0
3000,0.5,3.5,0.0,100000,0.0
3000,0.5,4.0,0.0,100000,0.0
3000,0.5,4.5,0.0,100000,0.0
3000,0.5,5.0,0.0,100000,0.0
3000,1.0,0.0,118.59442685798314,100000,0.38
3000,1.0,0.5,94.12845897596405,100000,0.33
3000,1.0,1.0,0.0,100000,0.0
3000,1.0,1.5,0.0,100000,0.0
3000,1.0,2.0,0.0,100000,0.0
3000,1.0,2.5,0.0,100000,0.0
3000,1.0,3.0,0.0,100000,0.0
3000,1.0,3.5,0.0,100000,0.0
3000,1.0,4.0,0.0,100000,0.0
3000,1.0,4.5,0.0,100000,0.0
3000,1.0,5.0,0.0,100000,0.0
3000,2.0,0.0,149.41961479859086,100000,0.54
3000,2.0,0.5,135.75672951178268,100000,0.48
3000,2.0,1.0,118.59442685798314,100000,0.39
3000,2.0,1.5,94.12845897596405,100000,0.43
3000,2.0,2.0,0.0,100000,0.0
3000,2.0,2.5,0.0,100000,0.0
3000,2.0,3.0,0.0,100000,0.0
3000,2.0,3.5,0.0,100000,0.0
3000,2.0,4.0,0.0,100000,0.0
3000,2.0,4.5,0.0,100000,0.0
3000,2.0,5.0,0.0,100000,0.0
3000,3.0,0.0,171.04276117677958,100000,0.55
3000,3.0,0.5,160.95740074664278,100000,0.52
3000,3.0,1.0,149.41961479859086,100000,0.48
3000,3.0,1.5,135.75672951178268,100000,0.45
3000,3.0,2.0,118.59442685798315,100000,0.44
3000,3.0,2.5,94.12845897596405,100000,0.36
3000,3.0,3.0,0.0,100000,0.0
3000,3.0,3.5,0.0,100000,0.0
3000,3.0,4.0,0.0,100000,0.0
3000,3.0,4.5,0.0,100000,0.0
3000,3.0,5.0,0.0,100000,0.0
3000,4.0,0.0,188.2569179519281,100000,0.65
3000,4.0,0.5,180.06126436143325,100000,0.63
3000,4.0,1.0,171.04276117677955,100000,0.56
3000,4.0,1.5,160.95740074664278,100000,0.56
3000,4.0,2.0,149.41961479859086,100000,0.47
3000,4.0,2.5,135.75672951178268,100000,0.47
3000,4.0,3.0,118.59442685798312,100000,0.41
3000,4.0,3.5,94.12845897596404,100000,0.47
3000,4.0,4.0,0.0,100000,0.0
3000,4.0,4.5,0.0,100000,0.0
3000,4.0,5.0,0.0,100000,0.0
3000,5.0,0.0,202.79361733706003,100000,0.71
3000,5.0,0.5,195.79508480470764,100000,0.71
3000,5.0,1.0,188.2569179519281,100000,0.62
3000,5.0,1.5,180.06126436143325,100000,0.6
3000,5.0,2.0,171.04276117677958,100000,0.63
3000,5.0,2.5,160.95740074664278,100000,0.65
3000,5.0,3.0,149.41961479859086,100000,0.56
3000,5.0,3.5,135.75672951178268,100000,0.54
3000,5.0,4.0,118.59442685798315,100000,0.46
3000,5.0,4.5,94.12845897596405,100000,0.34
3000,5.0,5.0,0.0,100000,0.0
